Establishment ID,Name,Address,City,Inspection Date,Inspection Type,critical_points,non_critical_points,total_points,max_total_points,compliance_score,letter_grade
53825,U.S. DEPT OF HHS-NIH (NIAID) CAFE & COFFEE KIOSK,5601 FISHERS LANE,ROCKVILLE,2023-05-18,Environmental,110,20,130,130,100,A
53959,BECKY'S WATER ICE,8814 BROOKVILLE RD,SILVER SPRING,2023-07-27,Comprehensive,110,20,130,130,100,A
17833,MAMMA LUCIA - SILVER SPRING,1302 EAST-WEST HWY.,SILVER SPRING,2023-08-03,Reinspection,110,20,130,130,100,A
2213,SANDY SPRING FRIENDS SCHOOL,16923 NORWOOD RD.,SANDY SPRING,2023-08-01,Comprehensive,110,20,130,130,100,A
53907,WAGSHAL'S GRAND BODEGA,6124 MACARTHUR BLVD,BETHESDA,2023-07-03,Reinspection,110,25,135,135,100,A
11214,STARBUCKS COFFEE #07453,865-D ROCKVILLE PK.,ROCKVILLE,2023-08-03,Reinspection,110,20,130,130,100,A
53907,WAGSHAL'S GRAND BODEGA,6124 MACARTHUR BLVD,BETHESDA,2023-06-27,Re-inspection Billable,110,20,130,130,100,A
53907,WAGSHAL'S GRAND BODEGA,6124 MACARTHUR BLVD,BETHESDA,2023-06-14,Pre-Opening - Environmental,110,25,135,135,100,A
43412,CAMP BENNETT,20501 GEORGIA AVE,BROOKEVILLE,2023-08-02,Comprehensive,110,20,130,130,100,A
29774,DON POLLO OF BRIGGS CHANEY,13881-A OUTLET DR,SILVER SPRING,2023-10-11,Food Complaint,110,20,130,130,100,A
28686,STANFORD GRILL,2000 TOWER OAKS BLVD,ROCKVILLE,2023-10-12,Monitoring,110,20,130,130,100,A
29702,SLEEP INN SHADY GROVE/ROCKVILLE - BREAKFAST ROOM,2 RESEARCH CT,ROCKVILLE,2023-10-10,Comprehensive,110,20,130,130,100,A
2021,PROGRESS CLUB,1610 EAST JEFFERSON ST.,ROCKVILLE,2023-11-08,Comprehensive,110,20,130,130,100,A
33340,CINEPOLIS LUXURY CINEMAS,629 CENTERPOINT WAY,GAITHERSBURG,2023-10-10,Food Complaint,110,20,130,130,100,A
46709,TROPICAL SMOOTHIE CAFE,12263 TECH RD,SILVER SPRING,2023-10-12,Comprehensive,110,20,130,130,100,A
19160,YEKTA SUPERMARKET,1488-A ROCKVILLE PIKE,ROCKVILLE,2023-10-12,Comprehensive,110,20,130,130,100,A
27467,DUNKIN DONUTS #351991,22610 NEWCUT RD,CLARKSBURG,2023-10-12,Comprehensive,110,20,130,130,100,A
345,BRIGGS CHANEY MIDDLE SCHOOL,1901 RAINBOW DR.,SILVER SPRING,2023-10-13,Monitoring,110,20,130,130,100,A
29774,DON POLLO OF BRIGGS CHANEY,13881-A OUTLET DR,SILVER SPRING,2023-10-10,Comprehensive,110,20,130,130,100,A
29836,TRATTORIA DA LINA,7000 CARROLL AVE,TAKOMA PARK,2023-08-04,Monitoring,110,20,130,130,100,A
53815,SIU'S ASIAN BISTRO,12271 TECH ROAD,SILVER SPRING,2023-10-12,Reinspection,110,20,130,130,100,A
50314,FIVE BELOW #8144,11160 VEIRS MILL RD,SILVER SPRING,2023-08-07,Pre-Opening - Environmental,110,20,130,130,100,A
36943,THE GIRL & THE VINE,7071 CARROLL AVE.,TAKOMA PARK,2023-08-04,Comprehensive,110,20,130,130,100,A
53758,BARRA BRAVA CEVICHERIA PERUANA,"15420 OLD COLUMBIA PIKE, UNIT B",BURTONSVILLE,2023-08-03,Re-inspection Billable,110,20,130,130,100,A
27411,ADARASH MARKET,8706 A FLOWER AVE. STE A,SILVER SPRING,2023-08-07,Comprehensive,110,20,130,130,100,A
52628,MOTORKAT,6939 LAUREL AVE,TAKOMA PARK,2023-08-04,Monitoring,110,20,130,130,100,A
29518,ADISU TEDLA,920 EAST WEST HWY,SILVER SPRING,2023-08-07,Monitoring,110,20,130,130,100,A
17605,NOODLES & COMPANY #404,177 KENTLANDS BLVD.,GAITHERSBURG,2023-10-11,Comprehensive,110,20,130,130,100,A
30224,7-ELEVEN CLARKSBURG VILLAGE,12101 SNOWDEN FARM PKWY,CLARKSBURG,2023-10-12,Comprehensive,110,20,130,130,100,A
41071,MCDONALDS 21095,13800 OUTLET DR,SILVER SPRING,2023-10-10,Comprehensive,110,20,130,130,100,A
30771,HUNAN TO GO,13 DAWSON AVE,ROCKVILLE,2023-10-12,Other,110,20,130,130,100,A
46874,ROYAL FARMS #233,690 WATKINS MILL RD,GAITHERSBURG,2023-10-12,Complaint Invest w/Comprehensive,110,20,130,130,100,A
461,LEISURE WORLD FOOD SERVICE/CLUBHOUSE GRILLE,3700 ROSSMOOR BLVD.,SILVER SPRING,2023-02-21,Comprehensive,110,20,130,130,100,A
30053,WEIS MARKET #289,883 RUSSELL AVE,GAITHERSBURG,2023-10-13,Comprehensive,110,20,130,130,100,A
46899,CAMBRIA HOTEL& SUITES ROCKVILLE,1 HELEN HENEGHAN WAY,ROCKVILLE,2023-10-13,Monitoring,110,20,130,130,100,A
2261,SHERWOOD HIGH,300 OLNEY SANDY SPRING RD.,SANDY SPRING,2023-09-14,Comprehensive,110,20,130,130,100,A
33478,THOMAS EDISON HIGH SCHOOL OF TECHNOLOGY - CAFE,12501 DALEWOOD DR.,SILVER SPRING,2023-12-06,Monitoring,110,20,130,130,100,A
26623,LITTLE CAESARS 1940-14,2092 VEIRS MILL RD,ROCKVILLE,2023-09-13,Comprehensive,110,20,130,130,100,A
46886,DULCET SCINTILLA,11910 PARKLAWN DR,ROCKVILLE,2023-08-04,Comprehensive,110,20,130,130,100,A
30041,BIG GREEK CAFE,5268-0 NICHOLSON LANE,KENSINGTON,2023-08-02,Food Complaint,110,20,130,130,100,A
18050,MOTI'S MARKET,4860 BOILING BROOK PKWY.,ROCKVILLE,2023-07-31,Food Complaint,110,20,130,130,100,A
46975,CREPES D'OR,11910 PARKLAWN DR,ROCKVILLE,2023-08-04,Comprehensive,110,20,130,130,100,A
43445,DUNKIN' & BASKIN-ROBBINS,11140 NEW HAMPSHIRE AVE,SILVER SPRING,2023-08-07,Monitoring,110,20,130,130,100,A
17356,DAMASCUS REC. POOL SNACK BAR,25730 WOODFIELD RD.,DAMASCUS,2023-07-31,Comprehensive,110,20,130,130,100,A
19049,HARRIS TEETER #325,14101 DARNESTOWN RD.,GERMANTOWN,2023-08-08,Comprehensive,110,20,130,130,100,A
44498,POPEYES,11311 LOCKWOOD DR.,SILVER SPRING,2023-09-14,Monitoring,110,20,130,130,100,A
53759,HELLO VIETNAM RESTAURANT,2200 VEIRS MILL RD,ROCKVILLE,2023-09-13,Comprehensive,110,20,130,130,100,A
